User Name,Text
DrVijaya Hotkar,suggestion tobacco products drug abuse stop products tobacco control farming ban cigarette bidi gutkha well allow pan shopper sale gutkha mephenten powder charas ganja children yrs old adolescent hukka cigar old tradition finish due fear cancer make awareness campaign everywhere drugs abuse tobacco products consumption purpose post paramedical staff aayush practitioner appointed training update knowledge adverse effects tobacco products consumption upon system metabolism body cause reduction immunity osteoporosis dysfunction liver kidney raise non communicable disease often information types media like news channel advertising also parents counselling psychotherapy conduct opd basis discuss values familial atmosphere surrounding society relation communication behaviour
DrVijaya Hotkar,suggestion stop advertising gossiping bollywood peoples give much importance families life styles well cut short नधन boycott culture wrong impacts passion fashion otherwise limit offering rules regulations make available protocols media display true clear occasions news channel repeated display throughout days months serials standard categorise family values banmbarding hammering avoid unethical practices malika people surrounding acting ethical issues good message story often times crime series original stories imaginary black negative impact repeated display throughout day additional extra background show transparency stories horror terriorism affect mentality woman children adolescent follow sometimes bad society crime occur often
AmarLata,honorable prime minister please take cognizance board examination april information missing answer book serial duty room sent additional chief secretary secondary education manager refusal cheating corruption forgery illegal fee collection etc bjp mla mrs archanapande hoc principal aartiyadav vice president krishnaautar dixit managing committee member srichandra tiwari fake inquiry committee member sunil chaturvedi kaptan singh yadav district magistrate kannauj rajendra babu ganged made caste harassment making fake charge sheet fabricated narrative proposal letter forcibly suspended july kannauj rajendra babu fraudulently approved illegal suspension letter number dated taking bribe harassers together stopped registering registering attendance biometric causing mental economic damage deducting half salary every month
Nehasharma,today whole world every country even india people coming grip mental illness fast pace prevent suggest separate activities mental peace every city village large scale center opened people ages come share mental problems meditate peace mental health today young generation right become destiny maker india lot difference conduct company thinking considered faster revolution campaign peace start person every house worry free crimes society automatically reduce true sense india culture rituals known world
ARVIND KUMAR,hello request registering complaint solving problem village public hearing portal uttar pradesh name revenue village mangatpur gram panchayat naudiha mangatpur category land pond illegally changed category category name village mangatpur changed bhagwantpur village kept darkness sir requested guide disposal village darkness light applicant arvind kumar village guard
GYANENDRA SINGH TOMAR,reduce relieve mental stress military forces may worthwhile pleasure oriented activities
MukeshKumarKumawat,debate population inevitable country overtake china populous country present according estimates united nations department economic social affairs india population reach billion billion time population china estimated billion currently percent world population resides india percent global surface area percent water resources humble request introduce govt bill pertaining population control beloved county
ARUN KUMAR TRIPATHI,respected prime minister necessary executive legislature accountable actions country public merely giving information saying matter forwarded accountability government considered answerable disposal application completely otherwise concerned punished charges negligence towards work
MANOJ KUMAR ARORA,remove reservation save country
AVINASH KUMAR SINGH,respected prime minister narendra modi lakhs posts lying vacant central departments recruitment done eliminate posts created recruit posts lying vacant government jobs cannot given crore people country fulfill aspirations youth recruiting posts available due distance pet center students faced lot trouble humble request schedule government jobs issued exams conducted regularly
Naveen Kumar Lal,respected prime minister narendra modi fill shortage employees public sector undertakings country lakhs posts lying vacant central departments recruitments done eliminate posts created posts lying vacant get recruited government jobs cannot given crore people country fulfill aspirations youth recruiting posts available
Krishan Kant Jain,india diwali celebrated festival lights decorations fireworks despite biggest festival hindu culture festival remained confined homes socially whole village celebrate festival together biggest reason religious cultural atmosphere celebration festival hindu samarsata manch malpura district tonk rajasthan organized three day diwali festival october event full religious cultural atmosphere societies entire malpura together celebrated diwali joy gaiety established new dimension way celebrating festival video program attached herewith malpura diwali exemplary example whole india
Sachchidanand Mishra,every school institutions country along national anthem information fundamental rights fundamental duties given common man knows rights duties well feeling freedom fulfilled
Pankaj Bajpai,hello sir want draw attention savnidhi yojana scheme ready tracks small shopkeepers good scheme suggestions people facing criminal cases given benefit scheme plan many people family whether really needed also taken care
Nilesh Mahesh Raut,suggest government india savings account let auto debit one soldiers martyred crore given family immediately debit soldiers think one objection
Nitesh Kumar Pandey,greetings sir request first every citizen understood education necessary also important know long education taken get employment self employment employment technical education today need education future generations water money needed food even defecation able live properly understand country feelings country every youth get employment country country youth thank waiting reply
PraveenYadav,respected subject suggestion increase production income farmers namaste student great idea increase production income farmers many problems faced farmers grow crops field one due lack nutrition soil crop less plants start growing many types diseases spoil crop farmer mixes many types fertilizers due soil gets spoiled government take care person village would check soil every field know nutrition tell exact pressure diseases occurring crops person hire government may new employee job also transfer patwari patwari work govt want hire new employee creates many jobs hope like idea thank
Satish,give money everyone according work give everyone money according work
Anuradha,sir necessary curb false allegations freedom expression officio member party falsely accuses anyone without written proof membership terminated well legally punished party member journalist lawyer political analyst citizen makes wrong statements country religion guise freedom expression punished legally one right try prove every right thing wrong wrong thing right society country according opinion
Shefali Yadav,sir indifferent attitude executive judiciary towards victimized harassed expelled employees land country becoming like crematorium employees dependents time bound judicial system important special attention needs paid regard
Anchal Goyal,namaste whole country sorry fish accident always remember one thing consider currency article time guardian accidents happen like today need national level expert safety agency whose main job identify accidents hazards happen give necessary instructions important detailed expert every subject
RATAN KUMARB BANKA,respected prime minister first salute devotion sir country companies print pictures gods goddesses products consumers use product throw print pack garbage request consider matter opinion want hurt anyone feelings sorry prayer hurt anyone feelings long live mother india indian citizen vande matram
Anil Kumar Yadav,dear sir idea government focus solar energy coal used generate electricity also costs lot coal also available limited quantities earth time also end lot pollution side effects health due spend hospital medicine government make solar energy mass movement give subsidy generate electricity solar energy money also sent directly bank account consumer consumer generates electricity directly solar panel electricity department sells electricity directly electricity department selling electricity half amount electricity sold government gets half money consumer problem pollution reduce people generate electricity homes government also get electricity electricity solar energy also sustainable thank
Anirudha Prasad,sir coming raichur karnataka came know quality water supplied entire city bad let alone drinking water even cook cannot believe situation bjp government state centre although district town officers central state government also live one paying attention supply clean water perhaps central government pay attention help making arrangements sincerely anirudh prasad raichur
Krishna Gopal Mujawdiya,suggestions mann baat subject weekly vikas news paper respected prime minister shri narendraji modi indian government greetings greetings complete information various types development activities run ministries central government given vikas samachar newspaper published weekly form newspaper free download countrymen get correct information development progress country therefore humble request taking necessary steps suggestion mine try give shape vikas samachar date sender krishna gopal mujavadia senior citizen environment friendly babji nagar road indore madhya pradesh mobile kgmfcs gmail com
Kinchit Vora,hello common man super intelligent knew loop holes system conmon man suggest ways takeover loop holes system whenever political leader visit place visit road much possible roads automatically become smooth many state roads lots feet district even tolls charged roads somehow roads
Meena Sharma,respected prime minister narendra modi request letter written delhi chief minister arvind kejriwal print photo lakshmi ganesh currency notes wrong good bad notes everywhere insult gods goddesses happen messing religion boycott requested take appropriate action thank
SANDIPAMBADASCHAVAN,prime minister vande mataram regarding low voting percentage elections sir voting elections certificate given voter polling center signature head center polling center certificate given concerned voter take advantage government yajnas document government mandatory xerox certificate help country voting every voter motivated vote thank
Pratik Bhikaji Gedam,rising unemployment problem solution agree jobs business recession market reasons usual skill skill surely get employment lot lakhs education takers skill based education takers negligible clear fact get employment insignificant number people lakhs choose academic course like build career joy working joy pursuing hobbies enthusiasm working process learning always continue employment also created
PRINCE KUMAR RAI,happen bihar price sips liter liquor normal sips anyone take higher price one sell theft also get profit higher price fun world hear simple liquor probably available earning scheme government people become drivers drinking liquor bihar also loose pockets loss less drinker always drinks princerai gmail com drink thank thank
Ravi Dhage,like abroad schools colleges india allowed display indian flag class room seeing national flag make patriotism conscious inspire young generation always grateful sacrificed lives freedom country also books given english medium schools lack constitution national anthem india requested constitution india make mandatory national anthem beginning textbooks medium schools resolving issue immediately
Sanjay Khatri,respected pradhanmantri jee charan vandna one country one ration one country one sign language one country one uniform adhbuth may also worship thought filled feelings divine power pray bjp get plus seats trillion usd economy direction country
Thakurprasad Thakur,jai hind jai shri ram physical educational qualifications prescribed types services jobs criminals disqualified concrete physical educational qualification prescribed councillor mla minister order make politics clean appointment process political posts made merit based qualified honest hardworking citizens remain field citizens benefit welfare schemes efficiently country develop rapid pace suggest graduate degree political science made compulsory
Suresh Padmashali,per respected shri narendraji modi saheb prime minister govt india dear hello subject regarding establishment pradhan mantri krishi seva kendra respected sir due unseasonal rains floods natural calamities farmers suffering huge losses situation government employee cannot get help farmers making panchnama time currently due corona entire business closed agricultural business starting need strengthen agriculture business convenience citizens currently country farmers goods getting price citizens getting agricultural goods situation establish pradhan mantri krishi kendra help agricultural graduates country great help duties farmers damage survey crop insurance purchase sale agricultural produce storage etc given officials agricultural center agricultural centers connected internet whatsapp agricultural produce sold citizens right price suresh padmashali agriculture gadchiroli maharashtra
Harshbabu,respected prime minister sir purpose joining personal opinion request behalf youth government india needs take indian business market online new heights new rules experiments indian business market must taken give simplified form indian business rules dear prime minister mistake verbal mistake please forgive going reveal references topics according opinion new changes come indian business sector india achieve heights business five point thoughts present context onlineization indian business market provide platform indian business market aggregating indian market one place eliminating language difference indian business market convergence indian international business market name harsh babu age years address mohd salawat khan farrukhabad uttar pradesh
Harshbabu,respected prime minister sir purpose joining personal opinion request behalf youth government india needs take indian business market online new heights new rules experiments indian business market must taken give simplified form indian business rules dear prime minister mistake verbal mistake please forgive going reveal references topics according opinion new changes come indian business sector india achieve heights business five point thoughts present context onlineization indian business market provide platform indian business market aggregating indian market one place eliminating language difference indian business market convergence indian international business market name harsh babu age years address mohd salawat khan farrukhabad uttar pradesh
ARVIND KUMAR,please provide guidance uploading khatauni category land pond village mangatpur post pakarhat police station pannuganj tehsil robertsganj district sonbhadra state uttar pradesh village village mangatpur pond account number classified category seen digital khatauni
Rajendra Suryakant Zad,namaste dear sir india post logo india post indian post current logo must indian post india post please similar languages
ARVIND KUMAR,hello requested applicant arvind kumar resident village mangatpur post pakarhat police station pannuganj tehsil robertsganj district sonbhadra uttar pradesh name village mangatpur changed bhagwantpur google map category done manner solve problem village ambulance service police service problem taking advantage service requested please provide guidance disposal arvind kumar village sentinel
HarshArya,regards prime minister resident jalabpur gudad gram panchayat najibabad block bijnor district uttar pradesh state proud say resident pradhan recently led uttar pradesh pune behalf entire uttar pradesh getting third place best five panchayats india pradhanji wants bring ambulance facility village villagers also support wish kindly desire kindness good work
HarshArya,greetings prime minister resident jalabpur gudar village najibabad block bijnor province state uttar pradesh india village headman lot
SatishKumar,regarding separate budget problems honorarium ayushman mitra working ayushman bharat honorable prime minister requested give attention health friends working full honesty hard work received honorarium many months years budget given give honorarium today family brink starvation please try solve problems arogya mitra grateful ayushman mitra answer
Swaraj Ashish Jain,rupees per consumer bill subsidy given state government electricity bill consumption units would good form spv joint venture participation central state corporates venture install grid based solar panel system roof consumers whose consumption continuously coming around units cost without taking single penny consumer solar power generated units per month grid consumer use consumer bill continue come subsidy pattern cost installation system continue recovered overall cost installation expenses met selling carbon credits systems installed without taking money consumer reduce dependence coal gas space cost required solar power
nan,nan
Gomathinayagam,dear sir already update sitting coach install side people wating enjoy tickect full snacks sale increase next generation people like travel best
CommonMan Suresh Gupta Mittapally,green birthday visiting schools motivate students environment protect every student plant tree hisher birthday
Vijay Inamdar,sir smart city dharwad railway station named famous poet shri drbendre
Ram K,indian women indias biggest strength congress left parties always oppressed women could never know rights govt must realize huge percentage vote women thus womens safety security ignored govt needs lot protect women girls india also women needs protected left wing propaganda bollywood movies btown web serials india modern nation doesnt require impose every failed western concept women livein relations blind requirement girls boyfriends ruining lives files women women biggest victim serial livein relations especially radical islamists guised modern man tough part gov act favor women without falling trap left wing propaganda machine try portray govt backward message needs conveyed society modern doesnt mean western
Anil Kumat,respected modiji support banks avail loan scheme start business improve business common people unable provide documents demanding banks avail financial scheme introduced national government due difficult lakhs people unable find living source living utter disappoinmet request look matter establish easier way provide loans minimum documents guaranty government banks asking profot ratio repayment capability lots documents dont know get option apply government documents single window application portal link loan application request common people able make project report asking bank support lots support schemes announcing govt reaching deserve one
RajendrakumarPranjivanLad,gujarat bhimnath dholera modasa shamlaji rout progress reduce distance bhavnagar mumbai one new rout dholera tarapur introduce approximate new optional rout goods passenger train dholera tarapur anandvasad mumbai dholera tarapur anand godhra ujjain dholera tarapur petlad nadiad modasa shamlaji udaipur routs reduce traffic train handling pressure ahmedabad saurastra new rout bypassing ahmedabad reduce travel time direct connectivity vadodara surat mumbai without passing ahmedabad days bhavnagar vadodara via ahmedabad distance completion dholera tarapur rout approximate wil reduce distance please taking working survey work budget llocation financial year completed lokshabha election
Ram K,absolutely clear elon musk takes big paycheck brings austerity workers tesla twitter kind hire fire culture without major economic loss company typical ccp culture india cannot allow hire fire culture india must bring law action ccp intrusion musk companies western countries heavily infiltrated ccp various corporations politicians delayed action ccp intrusion india cant delay ccp intrusion india paying heavy price allowing ccp intrusion around neighborhood congress govts cant allow ccp intrusion stooges india needs investigate quickly musks intensions act immediately intrusions ccp wants bring culture entire world started covid lockdowns shamed countries like india left wing west media
ARUNA A,honourable sir motherland corruption free every indians keep public sector honest transparent accountable best way make nation corruption free india yeah ofcourse definitely unity strength lets make nation corruption free india together minute
Umakanta Padhan,respected modi namaste odisha staying pune since last years working mechanical engineer john deere technology cetre pune request improve city road infrastructure last yrs pune building infrastructure population grown multi fold road infrastructure almost city needs flyovers metro ring roads make city efficient well save lots fuel green house gas pollution kindly ask state government shindefadnavis look matter urgent basis know would definitely listen respond request thank best regards umakanta padhan pune
NehaSharma,sir greetings day lot focus put organ donation transplantation aware efforts government india cardiopulmonary diseases ongoing pandemic across globe heart lung transplant work done mainly private sector hospitals regional institute heart lung transplant need hour governed autonomous management likewise lines ilbs new delhi created one state heart transplant well established modality treatment patients end stage heart disease decade survival per data available government sector medical college hospital involvement increase means creating department heart lung transplant leading government sector medical college hospital benefits reach maximum patient populationnmc niti focus important issue earliest thankyou
Aravindvemparala,subject technology awareness respected sir come hyderabad work predominant misconception technology means started early java developers high demand usa rest history ever point observed many technologies come graduates aware new fieds science potential carrier new field technology example interaction juniors colleagues none know field science called astro physics point respectfully want submit big disconnect masses new technologies define future world start early government information please make effort educating indian youth various fields science youth choose carrier new field develop potential pioneers benefit india log run
NirajAgrawal,sir sab pehle yhi kehna chau bhi black money india bhar use india wapas lane liye use tax free kar jiye sir paishe bahar india aaye sir value money badhe india rupees strong hoga dollar
Piyush Shrivastava,pfa
Ravi,sir weavers facing trouble state governments ignoring sir govt ask ministers mps mlas political leaders order dresses weavers govt also ask schools orders uniforms weavers state create lots opportunities weavers solve problems kindly look matter
AnjaliSingh,current rising intolerance country promoted vision hindu desh needs stopped country remain secular formation country governance country byoffor religion gives nothing cause huge destruction country needs pay attention topics like feminism fluidity gender break prevalant toxic masculinity rights lgbtqa teens
Sanjiv Shrikant Mantri,sirs process digital transformation lead beloved modi looking recent morbi bridge disaster like suggest digital twins scientific prediction maintenance disacster alarms official governence mechanism let share nice story norwegian public road admin could save stavo bridge serious accident digital twins effectively used predictive maintenance almost half old bridges country real life road dynamics natural conditions early warning life threat bridge enabled save future repercussions almost bridges across world built well decades deserve similar solutions definition failure criteria data generation analysis remain important refer post linkedin httpslnkdind tmjbfd regards sanjiv mantri
Shikhapundir,good healt
Sanjiv Shrikant Mantri,sirs process digital transformation lead beloved modi looking recent morbi bridge disaster like suggest digital twins scientific prediction maintenance disacster alarms official governence mechanism let share nice story norwegian public road admin could save stavo bridge serious accident digital twins effectively used predictive maintenance almost half old bridges country real life road dynamics natural conditions early warning life threat bridge enabled save future repercussions almost bridges across world built well decades deserve similar solutions definition failure criteria data generation analysis remain important refer post linkedin httpslnkdind tmjbfd regards sanjiv mantri
Qa Test,alcoholism himachal respected sir want bring notice alcoholism getting serious himachal please crub menace otherwise going next punjab reasons music videos message public drinking makes man respectable glorified status symbol state government excise policy major contribution state revenue revdi culture social security schemes promoted every person state mlas exservicemen common people effects health issues financial economic issues domestic violence family issues ill effects social starta
PankajGilotra,unemployment factor taken care government even nonpermanent employees treated permanent worked several years industry basis sincerity honesty work result increase motivation quality quantity work employees
Jagadeeswar Reddy,namaste modiji current vehicle registration format highly state centric create problems sometimes think unique vehicle number cum like phone number format like year alpabet number would make reduce state identity also foster national integration free movement across states
Jagadeeswar Reddy,namaste modiji india union states large cities spread across india varying level economic growth people often move various centers economic growth across india employment education marriage todays rules difficult people shift vehicle registration across various states moving across states due varying state rules suggest automatic transfer road tax registration states need centralized database vehicles dedicated platform vehicle related things whenever person moves one state another update address dedicated platform automatically road tax reminder part vehicle life along registration would transferred along needs uniform road tax across states happen efficiently automatic transfer vehicle related documents across states foster integration india
Rajeev Shrikant Yogi,keep traffic signals maximum seconds due time signals people break signals causes accident
SHESHASAYEE V S,mylapore chennai becoming hub drugs mafia recently come english daily
Sanjay Kumar Bhat,order bond community people aware sechmes order implement everyone one want fulfill demand money ready help social development order best social development necessary people local must educated people ready serve welfare society may development society
Jhuma Banik,namaste modiji resp sir inform unlucky citizens india situated barak valley assamthis part area bengal province british rules attached assam province increase revenue assam rich agricultural products natural resources unfortunately since independence deprived usual developments occurring rest state assam including employment govt jobs sole reason almost bengali speaking population contrast rest assam majority population speaking assamese reside trend still persisting rather increased last years sir almost total population state total land state jobs even grade types filled people brahmaputra valley pray blessings
Kush Gangwa,
Kush Gangwa,
NITIN VADILAL MEHTA,mere paas ayurvedic jadibutty ise aadmi mahino tak bhukha rah sakta ise sewa kre taur military dena chahta trial base jail kedi sakte khud mere par prayog karta ayurvedic free dena chahata bus aap baar chance dijiye thank
AKHILESH KUMAR TIWARI,regarding reservation jobs etc suggested may restricted one chance maximum provided said reservation maximum people benefited
KRISHAN KUMAR,raksak jab bhaksak bane chha jata andhkar hai atyachar papachar durachar bharmar hai
HUSNEJAHAN SHAIK,respected days seeing mnc companies firing employees fake experiance documents know fake candidates increasing less opportunities career gap students fault career gap student wants start career sector family issues financial issues also companies rejections makes take job fake documents continues happen country treat fake employees country take immediate actions provide opportunities career gap students less opportunities younger students taking wrong steps provide bulk opportunities scope think wrong want see country employments donot give chance countries defame country due fake experiance candidates thank much
V Raghavendra Bunty,treatment rehabilitation alcohol drug substance addiction mental health protect youth make responsible citizen nation nowadays youths going wrong way affect nation protect
V Raghavendra Bunty,idea focus protect youth substance
UcchtarMadhyamikShikshMandalDelhi,private education board education provided street children poor dropout student
S Kumar,issues action conversion sea water domestic industrial usage ways save lives land slides himalayan region kedarnath holy places installation solar projects high temperate states like rajasthan gujarat avoid burning crops find ways cut crops machines reduce air pollution delhi punjab behavioural attitudinal classes towards public empathy elected representatives sarpanch mps implement quick strict action crimes women
GuptaAbhishekh,idea resuse non active mine conserve ypur environment sir allow discuss ieda directly explain idea well
SunetraDas,view caste system todays india
TANNAMALAI,sir far corruption india prevalent almost control state govt offices course party ruled states may control main problem even though law economic offenceno severe punishment like criminal offence sincere request bring criminal category exceeds lac single transaction creates lot fear prevent people also proved punishment upto life imprisonment gulf countriesmuslim countries law severe cut hands jail torture visa cancellation etcso people fear obey law maxm extenteven though problems affects individual liberty country comes first well also peoples well discipline foremost enact act parliament discuss lawyersjudges bring change annamalai
Anoopkumar K A,bring kind attention factory running residential area plot number akhasra number chipyana buzurg pargana dadri gautam buddha nagar creating lots disturbance nuisance towards society also iligal activities going child labour wastage water noise polutionsome child labours addicted towards drugs carry criminal activities urge concerned authorities investigate matter deeply priority bases take necessary action order save society people criminal minded people getting big losses attached photos videos
VengamambaSrinivas,dear modiji warm greetings srinivas babu rti cell convenor bharatiya janata party andhra pradesh august opportunity meeting shri narendra modi today november morning ins circars indian navy establishment visakhapatnam departure public meeting important letter addressed prime minister requesting bring good governance act ensure union governments policies initiatives schemes percolate states uniformly leadership attached comment request needful warm regards pachava srinivas babu aka vengamamba srinivas
RAMESH PRASAD MISHRA,respected sir vision increase farmers income empowerment request introduce chakabandi villages still pending shorting issues bars chaka bandi sir resident village rasin tehsil karvi chitrakoot district chitrakoot uttar pradesh sir since childhood listening bhumi sudhar chakbandi crossed years became senior citizen request please arrange necessary action bhumi sudhar programs village rasin hope bhumi sudhar chakbandi farmers area definitely get better results income highly hopeful thankful betterment government regards ramesh prasad mishra mob email remeshmishra gmailcom
Sachin G Kulkarni,idea increase use generic medicines make rule doctor must write medicine composition medicine product name prescription example doctor prescription must contain maleate paracetamol phenylephrine product name sinarest
Pramod Kumar_233,encourage msme units
J Sai Kumar,know indian emerging digital india helpful create digital platform coding making india technical head also improve security connection countries world
